iter	Passed	Remaining
0	7	7688
1	21	10825
2	34	11483
3	49	12400
4	54	10873
5	63	10601
6	70	10037
7	75	9411
8	77	8561
9	102	10167
10	112	10149
11	134	11064
12	139	10592
13	145	10224
14	152	10004
15	154	9523
16	158	9191
17	164	8956
18	172	8893
19	173	8520
20	175	8183
21	180	8014
22	184	7826
23	187	7621
24	190	7420
25	193	7266
26	199	7193
27	202	7045
28	206	6903
29	208	6737
30	213	6677
31	216	6539
32	219	6445
33	221	6298
34	224	6185
35	226	6074
36	228	5958
37	234	5939
38	237	5852
39	243	5835
40	249	5837
41	252	5753
42	258	5761
43	265	5763
44	267	5672
45	270	5602
46	273	5536
47	277	5501
48	286	5564
49	291	5534
50	295	5495
51	301	5494
52	303	5418
53	305	5345
54	307	5279
55	312	5268
56	316	5231
57	317	5161
58	322	5139
59	326	5108
60	332	5112
61	334	5067
62	343	5106
63	346	5074
64	350	5036
65	353	5005
66	358	4994
67	364	4992
68	368	4969
69	372	4949
70	378	4954
71	380	4907
72	383	4875
73	389	4876
74	393	4848
75	401	4879
76	406	4874
77	411	4868
78	416	4860
79	419	4828
80	422	4790
81	426	4778
82	431	4765
83	435	4754
84	437	4709
85	439	4672
86	444	4663
87	446	4622
88	451	4622
89	454	4597
90	461	4613
91	464	4589
92	468	4564
93	470	4537
94	477	4544
95	478	4509
96	484	4511
97	490	4515
98	496	4522
99	500	4500
100	501	4463
101	504	4444
102	507	4418
103	512	4412
104	514	4388
105	517	4362
106	520	4340
107	522	4316
108	524	4287
109	527	4266
110	530	4248
111	532	4219
112	534	4196
113	539	4193
114	541	4165
115	543	4138
116	543	4138
117	549	4142
118	551	4114
119	553	4092
120	555	4068
121	557	4042
122	561	4039
123	564	4016
124	567	4005
125	567	4005
126	570	3987
127	575	3979
128	579	3972
129	584	3975
130	590	3980
131	593	3963
132	595	3942
133	601	3949
134	605	3936
135	614	3961
136	619	3963
137	621	3941
138	624	3927
139	627	3912
140	630	3895
141	635	3894
142	638	3880
143	640	3862
144	644	3855
145	649	3854
146	655	3854
147	660	3855
148	663	3842
149	666	3830
150	668	3811
151	673	3807
152	678	3807
153	682	3801
154	686	3793
155	690	3785
156	695	3785
157	701	3785
158	706	3782
159	710	3777
160	716	3782
161	722	3784
162	727	3781
163	733	3784
164	738	3780
165	744	3783
166	750	3791
167	756	3791
168	762	3794
169	767	3792
170	772	3791
171	777	3788
172	785	3798
173	791	3799
174	796	3799
175	800	3792
176	805	3788
177	811	3789
178	816	3786
179	819	3777
180	824	3770
181	824	3770
182	828	3760
183	832	3755
184	838	3754
185	842	3746
186	845	3736
187	849	3728
188	853	3722
189	858	3716
190	861	3708
191	866	3706
192	871	3699
193	875	3692
